stationid,highwayid,milepost,locationtext,upstream,downstream,stationclass,numberlanes,latlon,length
1045,3,14.32,Sunnyside NB,0,1046,1,4,"45.43324,-122.565775",0.94
1046,3,16.2,Johnson Cr NB,1045,1047,1,3,"45.45322,-122.572585",1.89
1047,3,18.1,Foster NB,1046,1117,1,3,"45.478984,-122.565617",1.6
1117,3,19.4,Powell to I-205 NB,1047,1048,1,3,"45.497415,-122.565244",0.84
1048,3,19.78,Division NB,1117,1142,1,3,"45.504373,-122.565148",0.86
1142,3,21.12,Glisan to I-205 NB,1048,1140,1,3,"45.526397,-122.565153",1.82
1140,3,23.41,Columbia to I-205 NB,1142,0,1,3,"45.559917,-122.564161",2.14
